Professione,% donne,Fonte
trucker,6.7,https://www.bls.gov/cps/cpsa2019.pdf
electrician,2.2
engineer,15.7
architect,24.5
accountant,61.7
reporter,45.1
teacher,80.5
bartender,50.1
physician,40.8
dentist,33.9
caregiver,85.6
pharmacist,60.4
dietitian,92.1
hygienist,96.0
biologist,47.7
lawyer,36.4
psychologist,79.7
waiter,71.3
hotelier,49.5
nurse,88.9
geologist,33.0
veterinary,68.3
